choice, accuracy, solution,  reward, cumulative_reward, rt,  total_trial_time, iti, cp_with_slow_fast
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+01,6.819000000000000000e+03,2.465159893035888672e-01,1.645874023437500000e+00,3.997638297720423339e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.600000000000000000e+01,6.885000000000000000e+03,3.444969654083251953e-01,1.743052005767822266e+00,3.929329796010786469e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000000e+01,6.951000000000000000e+03,2.652170658111572266e-01,1.536801099777221680e+00,2.798846523369062367e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,7.016000000000000000e+03,2.549982070922851562e-01,1.822758913040161133e+00,5.857136468307982957e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.300000000000000000e+01,7.079000000000000000e+03,2.697539329528808594e-01,1.766664028167724609e+00,5.025589655268893896e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+01,7.144000000000000000e+03,2.800540924072265625e-01,1.867658853530883789e+00,5.868499874208977785e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.900000000000000000e+01,7.203000000000000000e+03,2.375130653381347656e-01,1.866472959518432617e+00,6.366755901677692009e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.200000000000000000e+01,7.265000000000000000e+03,2.739439010620117188e-01,1.755836009979248047e+00,4.927625938061606647e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.400000000000000000e+01,7.329000000000000000e+03,2.729749679565429688e-01,1.517522096633911133e+00,2.605643289937012996e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,7.389000000000000000e+03,3.153550624847412109e-01,1.970374107360839844e+00,6.639625115834408842e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.100000000000000000e+01,7.450000000000000000e+03,2.767570018768310547e-01,1.697952985763549805e+00,4.455360080156798297e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.300000000000000000e+01,7.513000000000000000e+03,3.027880191802978516e-01,1.917402982711791992e+00,6.294825951901785732e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.300000000000000000e+01,7.576000000000000000e+03,3.432350158691406250e-01,2.001616954803466797e+00,6.811493415302225518e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.400000000000000000e+01,7.640000000000000000e+03,3.302469253540039062e-01,1.898111104965209961e+00,5.794398941378725576e-01,0.000000000000000000e+00
