"r_t1","r_t2","c_prob","c_prob_epoch_t0","c_prob_epoch_t1","cp","obs_cp","mu_rewards","std_rewards","condition","trial","trialset","epoch_n","ID","p_id_solution","t0_p","t1_p","epoch_trial"
4.765677,0,0.771429,0.8,0.2,0,0,3,1,"lv",175,"23",5,784,112,0.75,0.25,5
3.602927,0,0.772727,0.833333,0.166667,0,0,3,1,"lv",176,"23",5,784,112,0.75,0.25,6
4.304564,0,0.774011,0.857143,0.142857,0,0,3,1,"lv",177,"23",5,784,112,0.75,0.25,7
2.308877,0,0.775281,0.875,0.125,0,0,3,1,"lv",178,"23",5,784,112,0.75,0.25,8
3.737917,0,0.776536,0.888889,0.111111,0,0,3,1,"lv",179,"23",5,784,112,0.75,0.25,9
0,3.33944,0.772222,0.8,0.2,0,1,3,1,"lv",180,"23",5,784,112,0.75,0.25,10
2.909561,0,0.773481,0.818182,0.181818,0,1,3,1,"lv",181,"23",5,784,112,0.75,0.25,11
3.433921,0,0.774725,0.833333,0.166667,0,0,3,1,"lv",182,"23",5,784,112,0.75,0.25,12
0,5.162348,0.770492,0.769231,0.230769,0,1,3,1,"lv",183,"23",5,784,112,0.75,0.25,13
2.234353,0,0.771739,0.785714,0.214286,0,1,3,1,"lv",184,"23",5,784,112,0.75,0.25,14
0.962302,0,0.772973,0.8,0.2,0,0,3,1,"lv",185,"23",5,784,112,0.75,0.25,15
3.759462,0,0.774194,0.8125,0.1875,0,0,3,1,"lv",186,"23",5,784,112,0.75,0.25,16
1.715709,0,0.775401,0.823529,0.176471,0,0,3,1,"lv",187,"23",5,784,112,0.75,0.25,17
3.333776,0,0.776596,0.833333,0.166667,0,0,3,1,"lv",188,"23",5,784,112,0.75,0.25,18
1.364044,0,0.777778,0.842105,0.157895,0,0,3,1,"lv",189,"23",5,784,112,0.75,0.25,19
2.358921,0,0.778947,0.85,0.15,0,0,3,1,"lv",190,"23",5,784,112,0.75,0.25,20
1.963343,0,0.780105,0.857143,0.142857,0,0,3,1,"lv",191,"23",5,784,112,0.75,0.25,21
0,5.14491,0.776042,0.818182,0.181818,0,1,3,1,"lv",192,"23",5,784,112,0.75,0.25,22
2.377564,0,0.777202,0.826087,0.173913,0,1,3,1,"lv",193,"23",5,784,112,0.75,0.25,23
0,1.973586,0.773196,0.791667,0.208333,0,1,3,1,"lv",194,"23",5,784,112,0.75,0.25,24
2.727391,0,0.774359,0.8,0.2,0,1,3,1,"lv",195,"23",5,784,112,0.75,0.25,25
1.382094,0,0.77551,0.807692,0.192308,0,0,3,1,"lv",196,"23",5,784,112,0.75,0.25,26
2.139934,0,0.77665,0.814815,0.185185,0,0,3,1,"lv",197,"23",5,784,112,0.75,0.25,27
3.951114,0,0.777778,0.821429,0.178571,0,0,3,1,"lv",198,"23",5,784,112,0.75,0.25,28
0,2.964601,0.773869,0.793103,0.206897,0,1,3,1,"lv",199,"23",5,784,112,0.75,0.25,29
3.109809,0,0.775,0.8,0.2,0,1,3,1,"lv",200,"23",5,784,112,0.75,0.25,30
2.915609,0,0.776119,0.806452,0.193548,0,0,3,1,"lv",201,"23",5,784,112,0.75,0.25,31
3.888465,0,0.777228,0.8125,0.1875,0,0,3,1,"lv",202,"23",5,784,112,0.75,0.25,32
2.80184,0,0.778325,0.818182,0.181818,0,0,3,1,"lv",203,"23",5,784,112,0.75,0.25,33
2.544498,0,0.779412,0.823529,0.176471,0,0,3,1,"lv",204,"23",5,784,112,0.75,0.25,34
4.476223,0,0.77561,1,0,1,0,3,1,"lv",205,"23",6,784,111,0.25,0.75,1
0,2.059691,0.776699,0.5,0.5,0,1,3,1,"lv",206,"23",6,784,111,0.25,0.75,2
0,3.059361,0.777778,0.333333,0.666667,0,0,3,1,"lv",207,"23",6,784,111,0.25,0.75,3
2.224005,0,0.774038,0.5,0.5,0,1,3,1,"lv",208,"23",6,784,111,0.25,0.75,4
0,3.853257,0.77512,0.4,0.6,0,1,3,1,"lv",209,"23",6,784,111,0.25,0.75,5
0,1.947134,0.77619,0.333333,0.666667,0,0,3,1,"lv",210,"23",6,784,111,0.25,0.75,6
0,2.644379,0.777251,0.285714,0.714286,0,0,3,1,"lv",211,"23",6,784,111,0.25,0.75,7
2.034688,0,0.773585,0.375,0.625,0,1,3,1,"lv",212,"23",6,784,111,0.25,0.75,8
0,2.134396,0.774648,0.333333,0.666667,0,1,3,1,"lv",213,"23",6,784,111,0.25,0.75,9
3.868719,0,0.771028,0.4,0.6,0,1,3,1,"lv",214,"23",6,784,111,0.25,0.75,10
0,3.290972,0.772093,0.363636,0.636364,0,1,3,1,"lv",215,"23",6,784,111,0.25,0.75,11
4.129175,0,0.768519,0.416667,0.583333,0,1,3,1,"lv",216,"23",6,784,111,0.25,0.75,12
0,2.036489,0.769585,0.384615,0.615385,0,1,3,1,"lv",217,"23",6,784,111,0.25,0.75,13
2.454642,0,0.766055,0.428571,0.571429,0,1,3,1,"lv",218,"23",6,784,111,0.25,0.75,14
0,2.632357,0.767123,0.4,0.6,0,1,3,1,"lv",219,"23",6,784,111,0.25,0.75,15
0,4.001441,0.768182,0.375,0.625,0,0,3,1,"lv",220,"23",6,784,111,0.25,0.75,16
0,4.00743,0.769231,0.352941,0.647059,0,0,3,1,"lv",221,"23",6,784,111,0.25,0.75,17
1.394465,0,0.765766,0.388889,0.611111,0,1,3,1,"lv",222,"23",6,784,111,0.25,0.75,18
0,2.428064,0.766816,0.368421,0.631579,0,1,3,1,"lv",223,"23",6,784,111,0.25,0.75,19
0,4.296657,0.767857,0.35,0.65,0,0,3,1,"lv",224,"23",6,784,111,0.25,0.75,20
0,2.503664,0.768889,0.333333,0.666667,0,0,3,1,"lv",225,"23",6,784,111,0.25,0.75,21
0,2.611811,0.769912,0.318182,0.681818,0,0,3,1,"lv",226,"23",6,784,111,0.25,0.75,22
0,3.740137,0.770925,0.304348,0.695652,0,0,3,1,"lv",227,"23",6,784,111,0.25,0.75,23
0,1.502854,0.77193,0.291667,0.708333,0,0,3,1,"lv",228,"23",6,784,111,0.25,0.75,24
0,3.807354,0.772926,0.28,0.72,0,0,3,1,"lv",229,"23",6,784,111,0.25,0.75,25
2.000023,0,0.769565,0.307692,0.692308,0,1,3,1,"lv",230,"23",6,784,111,0.25,0.75,26
0,2.807873,0.770563,0.296296,0.703704,0,1,3,1,"lv",231,"23",6,784,111,0.25,0.75,27
0,1.906435,0.771552,0.285714,0.714286,0,0,3,1,"lv",232,"23",6,784,111,0.25,0.75,28
0,1.687274,0.772532,0.275862,0.724138,0,0,3,1,"lv",233,"23",6,784,111,0.25,0.75,29
0,4.169469,0.773504,0.266667,0.733333,0,0,3,1,"lv",234,"23",6,784,111,0.25,0.75,30
2.217491,0,0.770213,0.290323,0.709677,0,1,3,1,"lv",235,"23",6,784,111,0.25,0.75,31
0,1.582305,0.771186,0.28125,0.71875,0,1,3,1,"lv",236,"23",6,784,111,0.25,0.75,32
0,2.528242,0.772152,0.272727,0.727273,0,0,3,1,"lv",237,"23",6,784,111,0.25,0.75,33
0,4.15249,0.773109,0.264706,0.735294,0,0,3,1,"lv",238,"23",6,784,111,0.25,0.75,34
0,1.807719,0.774059,0.257143,0.742857,0,0,3,1,"lv",239,"23",6,784,111,0.25,0.75,35
0,3.18912,0.775,0.25,0.75,0,0,3,1,"lv",240,"23",6,784,111,0.25,0.75,36
3.403402,0,0.771784,0.27027,0.72973,0,1,3,1,"lv",241,"23",6,784,111,0.25,0.75,37
0,5.225099,0.772727,0.263158,0.736842,0,1,3,1,"lv",242,"23",6,784,111,0.25,0.75,38
1.959632,0,0.773663,1,0,1,1,3,1,"lv",243,"23",7,784,112,0.75,0.25,1
3.796105,0,0.77459,1,0,0,0,3,1,"lv",244,"23",7,784,112,0.75,0.25,2
0,3.822134,0.771429,0.666667,0.333333,0,1,3,1,"lv",245,"23",7,784,112,0.75,0.25,3
1.599301,0,0.772358,0.75,0.25,0,1,3,1,"lv",246,"23",7,784,112,0.75,0.25,4
0,2.339877,0.769231,0.6,0.4,0,1,3,1,"lv",247,"23",7,784,112,0.75,0.25,5
2.883863,0,0.770161,0.666667,0.333333,0,1,3,1,"lv",248,"23",7,784,112,0.75,0.25,6
2.691887,0,0.771084,0.714286,0.285714,0,0,3,1,"lv",249,"23",7,784,112,0.75,0.25,7
